epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.0271,1.76347,2.15912,1.63127,0.45052,0.35406,0.32944,0.13523,2.23337,2.28121,2.02645,0.000665242,0.000665242,0.000665242
2,123.94,1.7972,1.85205,1.65873,0.45917,0.33956,0.33427,0.14348,2.15116,2.17236,1.98168,0.00127917,0.00127917,0.00127917
3,188.793,1.80186,1.79354,1.66117,0.45906,0.37436,0.37044,0.16147,2.04052,2.09448,1.90233,0.00184029,0.00184029,0.00184029
4,253.134,1.75486,1.72924,1.62726,0.57608,0.45457,0.47462,0.20895,2.05106,1.89899,1.90451,0.0017624,0.0017624,0.0017624
5,318.437,1.70827,1.62835,1.5872,0.62794,0.5149,0.55156,0.25925,1.91743,1.7239,1.79652,0.0016832,0.0016832,0.0016832
6,384.274,1.68325,1.58944,1.58121,0.60211,0.51965,0.54983,0.25768,1.8788,1.67066,1.71991,0.001604,0.001604,0.001604
7,449.674,1.65343,1.53927,1.56145,0.64882,0.51546,0.57673,0.27676,1.89767,1.68194,1.76224,0.0015248,0.0015248,0.0015248
8,530.918,1.64038,1.49948,1.54588,0.6424,0.49968,0.55552,0.27196,1.87628,1.66713,1.73165,0.0014456,0.0014456,0.0014456
9,597.939,1.62106,1.48148,1.52719,0.65235,0.53743,0.58639,0.28034,1.8518,1.6075,1.72396,0.0013664,0.0013664,0.0013664
10,663.632,1.59294,1.43536,1.51626,0.66996,0.54736,0.59892,0.29242,1.82785,1.62475,1.70979,0.0012872,0.0012872,0.0012872
11,730.098,1.57325,1.40434,1.49958,0.71556,0.59053,0.64996,0.32338,1.79848,1.44321,1.68918,0.001208,0.001208,0.001208
12,796.534,1.57071,1.38169,1.49399,0.67276,0.5857,0.63979,0.32391,1.78072,1.47768,1.64918,0.0011288,0.0011288,0.0011288
13,861.937,1.55002,1.35854,1.48241,0.71408,0.60828,0.67483,0.34729,1.73856,1.35426,1.64537,0.0010496,0.0010496,0.0010496
14,927.535,1.5319,1.32989,1.47145,0.69888,0.60116,0.65742,0.33951,1.76909,1.38419,1.64982,0.0009704,0.0009704,0.0009704
15,992.58,1.52408,1.31625,1.4674,0.72113,0.59987,0.67444,0.35143,1.74386,1.36041,1.62934,0.0008912,0.0008912,0.0008912
16,1069.95,1.50101,1.22331,1.46666,0.70675,0.59053,0.66705,0.3358,1.75599,1.37122,1.65251,0.000812,0.000812,0.000812
17,1136.37,1.48016,1.1729,1.4542,0.74744,0.63241,0.71051,0.37478,1.69831,1.25723,1.60551,0.0007328,0.0007328,0.0007328
18,1201.77,1.45339,1.13036,1.42712,0.74331,0.64981,0.71694,0.37993,1.70347,1.2603,1.6136,0.0006536,0.0006536,0.0006536
19,1267.28,1.42971,1.09945,1.41777,0.76213,0.64046,0.72341,0.38577,1.69166,1.23111,1.60285,0.0005744,0.0005744,0.0005744
20,1332.21,1.41015,1.08441,1.40005,0.76741,0.65786,0.73826,0.39616,1.65233,1.21599,1.57677,0.0004952,0.0004952,0.0004952
21,1398.19,1.38985,1.04385,1.38645,0.77637,0.65754,0.73939,0.40142,1.64452,1.18583,1.57017,0.000416,0.000416,0.000416
22,1463.35,1.36197,1.00909,1.36865,0.767,0.673,0.74827,0.41161,1.62835,1.16097,1.5585,0.0003368,0.0003368,0.0003368
23,1528.94,1.34336,0.98538,1.35587,0.78789,0.67612,0.75826,0.42546,1.61692,1.13762,1.54626,0.0002576,0.0002576,0.0002576
24,1593.74,1.32718,0.96027,1.34617,0.79771,0.68859,0.76447,0.42591,1.61294,1.11247,1.54505,0.0001784,0.0001784,0.0001784
25,1657.92,1.30534,0.9464,1.33163,0.8157,0.68235,0.76459,0.42864,1.6031,1.10321,1.54009,9.92e-05,9.92e-05,9.92e-05
